BANANA CATURRA GRANEL,,,,,kg,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
BANANA PRATA GRANEL,,,,,kg,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
BANANA PRATA,,,,,kg,,Sacolao DP Sao Jose LTDA,,,,,,,,
BANANA PRATA,,,,,kg,,SUPER KOSCHECK,,,,,,,,
BANANA PRATA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BANANA PRATA kg,,,,,kg,,UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A,,,,,,,,
BANANA PRATA PCT 800,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BANANA PRATA COMUM C,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BANANA PRATA COMUM,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BANANA NANICA CRFO K,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
ATEMOYA CRFO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MACA,,,,,kg,,SUPER KOSCHECK,,,,,,,,
MACA SQ 1KG,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MACA GALA CRFO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MACA GALA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MACA GALA,,,,,kg,,Supermercado Onzi Ltda.,,,,,,,,
MACA GALA UNICO 1KG,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MACA FUJI GRANEL,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
MACA FUJI CRFO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MACA FUJI KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MACA GRANNY VERDE IMP. GRANEL,,,,,kg,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
BERG PONKAN,,,,,kg,,SUPERMERCADO BELTRAME LTDA,,,,,,,,
BERGAMOTA MONTENE,,,,,kg,,Supermercado Onzi Ltda.,,,,,,,,
BERGAMOTA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MEXERICA PONKAN KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MEXERICA PONKAN KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
TAMARA S CAROCO SELK,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
DAMASCO SECO ELMAS 2,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
FIGO BANDEIJA,,,,,un,,Supermercado Onzi Ltda.,,,,,,,,
GENGIBRE KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BROCOLIS FRUTTICIPRI,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BROCOLIS HIBRIDO 350G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
BERINJELA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BETERRABA RAMA,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BETERRABA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BETERRABA,,,,,kg,,SUPER KOSCHECK,,,,,,,,
BETERRABA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
TEMPERO VERDE,,,,,un,,Supermercado Onzi Ltda,,,,,,,,
AZEITONA VDE S CAROC,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
AZEITONA VERDE C/,,,,,un,,TIMY INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI,,,,,,,,
AZEITON CARREFOUR VD,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
AZ PRETA AZAPA V.FERTIL C/C 200G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
ALHO PORO MC,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
ALFACE. UN,,,,,un,,Sacolao DP Sao Jose LTDA,,,,,,,,
ALFACE UN,,,,,un,,Supermercado JGZ LTDA,,,,,,,,
ALFACE MIMOSA HID,,,,,un,,Supermercado JGZ LTDA,,,,,,,,
ALFACE MIMOSA HIDROPONICA,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
ALFACE ROXA HIDROPONICA,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
ALFACE HIDROPONICA,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
ALFACE DE ESTUFA,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
ALFACE,,,,,un,,Supermercado Onzi Ltda.,,,,,,,,
ALFACE TEMPEROS RUCULA,,,,,un,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
ALFACE LISA ORG ORGA,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
ALFACE CRESPA,,,,,un,,SUPERMERCADO FORLIN EIRELI,,,,,,,,
CEBOLA IMP KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
CEBOLA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
CEBOLA GRANO IMPORTADA GRANEL,,,,,kg,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
CEBOLA,,,,,kg,,SUPER KOSCHECK,,,,,,,,
CEBOLA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
CEBOLA AO KG,,,,,kg,,SUPERMERCADO FORLIN EIRELI,,,,,,,,
CEBOLA CRFO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
CEBOLA BRANCA GRANEL,,,,,kg,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
CEBOLINHA PT 11,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BATATA BRANCA,,,,,kg,,SUPER KOSCHECK,,,,,,,,
BATATA BRANCA GRANEL,,,,,kg,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
BATATA BRANCA KG.,,,,,kg,,Supermercado JGZ LTDA,,,,,,,,
"BATATA BRANCA 1,5KG",,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
BATATA DOCE ROXA CRF,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BATATA DOCE ROSADA GRANEL,,,,,kg,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
BATATA DOCE,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
BATATA ROSA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
BATATA ROSA,,,,,kg,,SUPER KOSCHECK,,,,,,,,
BATATA ROSADA CRFO K,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BATATA MONALISA CRFO,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BATATA MONALISA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
REPOLHO VERDE,,,,,kg,,SUPERMERCADO BELTRAME LTDA,,,,,,,,
REPOLHO,,,,,kg,,SUPER KOSCHECK,,,,,,,,
REPOLHO ROXO 400G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
REPOLHO LISO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
CENOURA,,,,,kg,,Supermercado Onzi Ltda.,,,,,,,,
CENOURA,,,,,kg,,SUPER KOSCHECK,,,,,,,,
CENOURA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
CENOURA ESPECIAL 600G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
CENOURA GRANEL,,,,,kg,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
CENOURA ORG CAMPO LI,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
CENOURA EMB KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
CENOURA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MILHO VERDE BANDEIJA,,,,,un,,Supermercado Onzi Ltda,,,,,,,,
ABOBRINHA ITALIANA U,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
ABOBORA KABOTIA EMB,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PEPINO SALADA,,,,,kg,,Supermercado Onzi Ltda,,,,,,,,
COUVE FOLHA UN,,,,,un,,Supermercado JGZ LTDA,,,,,,,,
COUVE FATIADA PRIMODORO 200G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
RUCULA HIDROPONICA,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
TOMATE GAUCHO AO KG,,,,,kg,,SUPERMERCADO FORLIN EIRELI,,,,,,,,
TOMATE ITALIANO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
TOMATE L VIDA KG,,,,,kg,,SUPERMERCADO BELTRAME LTDA,,,,,,,,
TOMATE LONGA VIDA KG,,,,,kg,,Supermercado Onzi Ltda,,,,,,,,
TOMATE LONGA VIDA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
